1335.2	5300390	WA	BELLEVUE SCHOOL DISTRICT
1335.0	4817700	TX	EAGLE MT-SAGINAW ISD
1332.8	1741250	IL	WAUKEGAN CUSD 60
1332.7	5400060	WV	BERKELEY COUNTY SCHOOLS
1331.5	1602340	ID	NAMPA SCHOOL DISTRICT
1330.2	2913830	MO	HAZELWOOD
1327.5	5101830	VA	HANOVER CO PBLC SCHS
1327.5	0404380	AZ	LITCHFIELD ELEMENTARY DISTRICT
1326.5	2901000	MO	COLUMBIA 93
1324.0	1301830	GA	DOUGHERTY COUNTY
1321.5	4807440	TX	ABILENE ISD
1316.0	5300480	WA	BETHEL SCHOOL DISTRICT
1303.8	1201290	FL	MARTIN
1301.3	2918300	MO	LEE'S SUMMIT R-VII
1301.2	1805670	IN	M S D LAWRENCE TOWNSHIP
1296.7	0802580	CO	BRIGHTON SCHOOL DISTRICT NO. 27J
1295.2	4833180	TX	NORTHWEST ISD
1294.2	3605280	NY	BRENTWOOD UNION FREE SCHOOL DISTRICT
1292.2	4811790	TX	BRYAN ISD
1290.5	0200510	AK	MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT
1287.7	3700690	NC	CATAWBA COUNTY SCHOOLS
1286.3	2733810	MN	SOUTH WASHINGTON COUNTY SCHOOL DIST
1286.3	2731800	MN	ROCHESTER PUBLIC SCHOOL DISTRICT
1279.7	2928950	MO	FRANCIS HOWELL R-III
1274.5	5306570	WA	PASCO SCHOOL DISTRICT
1274.2	3500010	NM	RIO RANCHO PUBLIC SCHOOLS
1268.8	0627810	CA	OAK GROVE ELEMENTARY
1263.0	0634920	CA	SAN MATEO-FOSTER CITY ELEMENTARY
1261.5	4104740	OR	EUGENE SD 4J
1260.3	2400600	MD	ST. MARY'S COUNTY PUBLIC SCHOOLS
1260.0	4108830	OR	NORTH CLACKAMAS SD 12
1253.5	0635430	CA	SANTA CLARA UNIFIED
1246.0	0618390	CA	INGLEWOOD UNIFIED
1242.8	0640740	CA	VALLEJO CITY UNIFIED
1241.7	4005490	OK	BROKEN ARROW
1240.3	2201560	LA	ST. LANDRY PARISH
1240.2	4831040	TX	MISSION CISD
1239.5	2503090	MA	BROCKTON
1238.3	1801200	IN	CARMEL CLAY SCHOOLS
1237.5	4800010	TX	HAYS CISD
1236.7	1727710	IL	NAPERVILLE CUSD 203
1236.5	4503330	SC	PICKENS 01
1234.5	1720580	IL	JOLIET PSD 86
1229.7	3502370	NM	SANTA FE PUBLIC SCHOOLS
1225.7	1803870	IN	GARY COMMUNITY SCHOOL CORP
1223.7	2923580	MO	PARKWAY C-2
1219.0	3700900	NC	CLEVELAND COUNTY SCHOOLS
